time_s,cmd_vx,cmd_vy,cmd_vz,vel_vx,vel_vy,vel_vz,roll,pitch,yaw,p,q,r,rpm1,rpm2,rpm3,rpm4
3.191000000000000281e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.280016296196966772e-18,1.336422324180603027e+00,-2.464344725012779236e-03,-8.238675705593796750e-02,-1.358622251054729426e-19,-1.412934257776478228e-19,5.328120465677624318e-02,-5.318013321602907507e-20,-4.954465373124924868e-19,1.864990156743177295e+03,1.871682103136592104e+03,1.871682103136592104e+03,1.864990156743177295e+03
3.192000000000000171e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.281513699900840890e-18,1.336722254753112793e+00,-2.458523958921432495e-03,-8.233347585129378865e-02,-1.359559838939230453e-19,-1.417828179387170127e-19,5.330852993668502848e-02,-5.320478170588851187e-20,-4.954465373124924868e-19,1.864999184396948294e+03,1.871665645294814340e+03,1.871665645294814340e+03,1.864999184396948294e+03
3.193000000000000060e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.283011310399868147e-18,1.337021589279174805e+00,-2.452701795846223831e-03,-8.228016732136973765e-02,-1.360497411651972306e-19,-1.422722130695041175e-19,5.333576761334511002e-02,-5.322944283673249405e-20,-5.284763064666586462e-19,1.865006144351029889e+03,1.871651246194697706e+03,1.871651246194697706e+03,1.865006144351029889e+03
3.193999999999999950e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.284509644681931388e-18,1.337320208549499512e+00,-2.446877770125865936e-03,-8.222683155376903086e-02,-1.361462106701286849e-19,-1.427945292711473259e-19,5.336290092169274080e-02,-5.325576148345492188e-20,-4.954465373124924868e-19,1.865015151269559738e+03,1.871634803832305806e+03,1.871634803832305806e+03,1.865015151269559738e+03
3.195000000000000284e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.286052336524342784e-18,1.337618231773376465e+00,-2.441052114591002464e-03,-8.217346865285998780e-02,-1.362399665440078305e-19,-1.432839302145490735e-19,5.338994677519887794e-02,-5.328044776693352357e-20,-4.954465373124924868e-19,1.865022090296854230e+03,1.871620419844103708e+03,1.871620419844103708e+03,1.865022090296854230e+03
3.196000000000000174e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.287551704782171716e-18,1.337915658950805664e+00,-2.435224829241633415e-03,-8.212007870609748517e-02,-1.363337208983188851e-19,-1.437733341359881033e-19,5.341690514722907679e-02,-5.330514656213084675e-20,-4.954465373124924868e-19,1.865029031306668458e+03,1.871606031260077998e+03,1.871606031260077998e+03,1.865029031306668458e+03
3.197000000000000064e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.289051486630306924e-18,1.338212370872497559e+00,-2.429396146908402443e-03,-8.206666180096294783e-02,-1.364274737322654045e-19,-1.442627410382022210e-19,5.344375926045808606e-02,-5.332985782857697042e-20,-4.624167681583263274e-19,1.865038021290237339e+03,1.871589598405540983e+03,1.871589598405540983e+03,1.865038021290237339e+03
3.197999999999999954e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.290551682068748409e-18,1.338508486747741699e+00,-2.423565601930022240e-03,-8.201321804171521346e-02,-1.365185183234557801e-19,-1.447192322467378619e-19,5.347052604368635054e-02,-5.335293327207634971e-20,-4.293869990041601681e-19,1.865044941213794800e+03,1.871575225521849006e+03,1.871575225521849006e+03,1.865044941213794800e+03
3.199000000000000288e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.292008450525030860e-18,1.338803887367248535e+00,-2.417733659967780113e-03,-8.195974751568428640e-02,-1.366068565478737077e-19,-1.451428076100150467e-19,5.349718871199714287e-02,-5.337437120121344483e-20,-3.963572298499940087e-19,1.865053911002285076e+03,1.871558807390696529e+03,1.871558807390696529e+03,1.865053911002285076e+03
3.200000000000000178e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.293421481806424569e-18,1.339098691940307617e+00,-2.411900088191032410e-03,-8.190625032698503616e-02,-1.366924902825034998e-19,-1.455334669763872794e-19,5.352376418211949455e-02,-5.339416992644077776e-20,-3.963572298499940087e-19,1.865060812485983661e+03,1.871544448055948124e+03,1.871544448055948124e+03,1.865060812485983661e+03
3.201000000000000068e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.294790982708082676e-18,1.339392900466918945e+00,-2.406065119430422783e-03,-8.185272656281569748e-02,-1.367781228450364020e-19,-1.459241293052033580e-19,5.355025241929776969e-02,-5.341397848695933947e-20,-3.633274606958278493e-19,1.865067717171045615e+03,1.871530083362051982e+03,1.871530083362051982e+03,1.865067717171045615e+03
