time,command,measured,model,cross1,cross2,yaw
2.482,0.3,0.28883031010627747,0.012942874077725718,9.229578042726236e-17,0.00242004101164639,2.6329467571339823e-18
2.483,0.3,0.28884604573249817,0.012942874077725718,9.22309029974586e-17,0.002419863361865282,2.6215140104501167e-18
2.484,0.3,0.2888616919517517,0.012942874077725718,9.223879760922481e-17,0.002419685944914818,2.5739412997065938e-18
2.485,0.3,0.2888772487640381,0.012942874077725718,9.232657139838404e-17,0.0024195085279643536,2.467466520461149e-18
2.486,0.3,0.2888927161693573,0.012942874077725718,9.248103579724974e-17,0.0024193311110138893,2.305070544473351e-18
2.487,0.3,0.28890812397003174,0.012942874077725718,9.26785069705233e-17,0.0024191539268940687,2.085275388481307e-18
2.488,0.3,0.288923442363739,0.012942874077725718,9.291126897745082e-17,0.002418976742774248,1.845717855229538e-18
2.489,0.3,0.2889386713504791,0.012942874077725718,9.315056901993996e-17,0.002418799791485071,1.615113543111169e-18
2.49,0.3,0.28895384073257446,0.012942874077725718,9.336000453359349e-17,0.0024186228401958942,1.3632588026759497e-18
2.491,0.3,0.28896889090538025,0.012942874077725718,9.350553538184361e-17,0.0024184458889067173,1.0842141832552462e-18
2.492,0.3,0.28898388147354126,0.012942874077725718,9.357671261919258e-17,0.002418269170448184,7.893709625077286e-19
2.493,0.3,0.2889987826347351,0.012942874077725718,9.358285360806017e-17,0.0024180924519896507,5.104175089147904e-19
2.494,0.3,0.2890136241912842,0.012942874077725718,9.351949819058351e-17,0.0024179157335311174,2.315083008942352e-19
2.495,0.3,0.2890283465385437,0.012942874077725718,9.33913646049766e-17,0.002417739247903228,-3.1513804083540575e-20
2.496,0.3,0.28904300928115845,0.012942874077725718,9.320646657701384e-17,0.002417562762275338,-2.5141912921809687e-19
2.497,0.3,0.28905758261680603,0.012942874077725718,9.297880662010455e-17,0.002417386509478092,-4.282139563102379e-19
2.498,0.3,0.28907209634780884,0.012942874077725718,9.27268937276352e-17,0.002417210256680846,-5.460616944277831e-19
2.499,0.3,0.2890864908695221,0.012942874077725718,9.24555453994933e-17,0.002417034236714244,-6.366570017143287e-19
2.5,0.3,0.2891008257865906,0.012942874077725718,9.217864503507995e-17,0.002416857983916998,-7.000035091011198e-19
2.501,0.3,0.2891150712966919,0.012942874077725718,9.190679378112563e-17,0.0024166819639503956,-7.474965845743713e-19
2.5020000000000002,0.3,0.28912925720214844,0.012942874077725718,9.163912475234837e-17,0.002416506176814437,-7.82105986665106e-19
2.503,0.3,0.2891433537006378,0.012942874077725718,9.13853060357477e-17,0.0024163303896784782,-8.023498465223142e-19
2.504,0.3,0.28915733098983765,0.012942874077725718,9.114578761757684e-17,0.0024161546025425196,-8.225898720126278e-19
2.505,0.3,0.2891712784767151,0.012942874077725718,9.09329970593588e-17,0.0024159790482372046,-7.997467423073187e-19
2.5060000000000002,0.3,0.289185106754303,0.012942874077725718,9.074371828287196e-17,0.002415803261101246,-7.927493729575361e-19
2.507,0.3,0.2891988754272461,0.012942874077725718,9.057789834855713e-17,0.0024156279396265745,-8.015951213595522e-19
2.508,0.3,0.28921255469322205,0.012942874077725718,9.04400702061711e-17,0.0024154523853212595,-8.104384727395254e-19
2.509,0.3,0.28922614455223083,0.012942874077725718,9.033474695313595e-17,0.002415277063846588,-8.034365532281095e-19
2.5100000000000002,0.3,0.28923967480659485,0.012942874077725718,9.025730299546628e-17,0.0024151019752025604,-7.964348773043111e-19
2.511,0.3,0.2892531156539917,0.012942874077725718,9.02076920110478e-17,0.002414926653727889,-7.894334441036763e-19
2.512,0.3,0.2892664670944214,0.012942874077725718,9.019628353603947e-17,0.0024147515650838614,-7.46300442888296e-19
2.513,0.3,0.2892797291278839,0.012942874077725718,9.021290655762934e-17,0.0024145764764398336,-6.541636811657971e-19
2.5140000000000002,0.3,0.28929293155670166,0.012942874077725718,9.023874106252059e-17,0.0024144016206264496,-5.620419724762401e-19
2.515,0.3,0.28930604457855225,0.012942874077725718,9.027834647024963e-17,0.0024142267648130655,-4.540924390938364e-19
